5 2.000000000000000042e-03 6.000000000000000125e-03 8.000000000000000167e-03 1.799999999999999864e-02
10 1.299999999999999940e-02 5.199999999999999761e-02 5.800000000000000294e-02 8.699999999999999400e-02
15 1.059999999999999970e-01 1.310000000000000053e-01 7.239999999999999769e-01 5.450000000000000400e-01
20 8.629999999999999893e-01 1.685999999999999943e+00 1.175000000000000044e+00 1.129000000000000004e+00
25 1.635000000000000009e+00 1.433000000000000052e+00 1.572999999999999954e+00 1.923999999999999932e+00
30 2.000000000000000042e-03 6.000000000000000125e-03 8.000000000000000167e-03 1.299999999999999940e-02
35 2.599999999999999881e-02 8.200000000000000344e-02 5.999999999999999778e-02 6.800000000000000488e-01
40 3.360000000000000209e-01 3.310000000000000164e-01 4.309999999999999942e-01 5.490000000000000435e-01
45 9.230000000000000426e-01 7.209999999999999742e-01 1.070000000000000062e+00 7.720000000000000195e-01
50 2.289000000000000146e+00 1.729999999999999982e+00 1.612000000000000099e+00 1.741000000000000103e+00
55 2.000000000000000042e-03 6.000000000000000125e-03 1.200000000000000025e-02 2.400000000000000050e-02
60 6.400000000000000133e-02 6.400000000000000133e-02 5.099999999999999672e-02 9.500000000000000111e-02
65 1.330000000000000071e-01 2.500000000000000000e-01 2.250000000000000056e-01 3.079999999999999960e-01
70 6.600000000000000311e-01 7.259999999999999787e-01 6.790000000000000480e-01 7.530000000000000027e-01
75 1.118000000000000105e+00 1.163000000000000034e+00 1.816000000000000059e+00 2.040000000000000036e+00
80 5.000000000000000104e-03 1.000000000000000021e-02 1.600000000000000033e-02 1.600000000000000033e-02
85 2.299999999999999961e-02 4.100000000000000172e-02 5.899999999999999689e-02 1.110000000000000014e-01
90 1.330000000000000071e-01 1.529999999999999971e-01 3.069999999999999951e-01 3.420000000000000262e-01
95 3.850000000000000089e-01 6.350000000000000089e-01 6.430000000000000160e-01 9.150000000000000355e-01
100 1.278000000000000025e+00 1.447999999999999954e+00 1.641000000000000014e+00 1.931000000000000050e+00
